Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost [0.97,0.0,0.0] boost [0.0,0.95,0.0]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: boost [0.97,0.23095,0.0] rotation[0.0,0.0,-1.02842]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,-1.02842] boost [0.97,0.23095,0.0]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

β                    β                    Equivalent           Equivalent    θw      (v = vx + vy)         (v = vy + vx)     
X-axis               Y-axis               β                    direction                                                     
-----------------------------------------------------------------------------------------------------------------------------
0.9                  0.4                  0.9167333309092673    10.964°   -14.906°   [0.9,0.17436,0.0]     [0.82486,0.4,0.0]     
0.9                  0.5                  0.9260129588726068    13.613°   -19.067°   [0.9,0.21794,0.0]     [0.77942,0.5,0.0]     
0.9                  0.6                  0.9372299611087985    16.204°   -23.602°   [0.9,0.26153,0.0]     [0.72,0.6,0.0]        
0.9                  0.7                  0.9503157370053389    18.728°   -28.714°   [0.9,0.30512,0.0]     [0.64273,0.7,0.0]     
0.9                  0.8                  0.9651942809610924    21.179°   -34.801°   [0.9,0.34871,0.0]     [0.54,0.8,0.0]        
0.9                  0.9                  0.9817840903172145    23.552°   -42.896°   [0.9,0.3923,0.0]      [0.3923,0.9,0.0]      
0.9                  0.95                 0.9906942010529789    24.707°   -48.814°   [0.9,0.4141,0.0]      [0.28102,0.95,0.0]    
0.9                  0.96                 0.9925240551241064    24.936°   -50.356°   [0.9,0.41845,0.0]     [0.252,0.96,0.0]      
0.9                  0.97                 0.9943696495770574    25.164°   -52.125°   [0.9,0.42281,0.0]     [0.21879,0.97,0.0]    
0.9                  0.98                 0.9962308969310278    25.391°   -54.253°   [0.9,0.42717,0.0]     [0.1791,0.98,0.0]     
0.9                  0.99                 0.9981077096185562    25.617°   -57.075°   [0.9,0.43153,0.0]     [0.12696,0.99,0.0]    
