Find the boost-plus-rotation that equates to 2 perpendicular boosts.

Event:[10.0, 1.0, 1.0, 1.0]
Corner-boost transform: boost[X,0.97] boost[Y,0.95]
 Event after corner-boost: [115.91503, -35.78702, -109.80703, 1.0]

Boost+rotation transform: rotation[0.0,0.0,0.23374] boost[X,0.99711] rotation[0.0,0.0,-1.02842] rotation[0.0,0.0,-0.23374]
 Event after boost+rotation: [115.91503, -35.78702, -109.80703, 1.0]
Note the presence here of a 'housekeeping' rotation at the start/end. That's an artifact of this code always using an axis.

Order matters. Rotation+boost isn't the same. The operations don't commute.
But there is apparently a DIFFERENT rotation+boost that is indeed the same (not implemented here).
Rotation+boost transform: rotation[0.0,0.0,0.23374] rotation[0.0,0.0,-1.02842] boost[X,0.99711] rotation[0.0,0.0,-0.23374]
 Event from rotation+boost: [131.90826, -128.27952, -29.0887, 1.0]

βx                   βy                   equivβ               equivDirection    θw
0.999                0.2                  0.9990400192184495        0.513°   -11.035°
0.999                0.3                  0.9990900409872976        0.769°   -16.705°
0.999                0.4                  0.9991600672564932        1.026°   -22.574°
0.999                0.5                  0.9992500938203609        1.282°   -28.743°
0.999                0.6                  0.9993601152737686        1.538°   -35.359°
0.999                0.7                  0.9994901250137492        1.794°   -42.661°
0.999                0.8                  0.9996401152414803        2.051°   -51.107°
0.999                0.9                  0.9998100769646203        2.307°   -61.874°
0.999                0.95                 0.9999025440011642        2.435°   -69.388°
0.999                0.96                 0.9999216361295519        2.460°   -71.295°
0.999                0.97                 0.9999409278052379        2.486°   -73.458°
0.999                0.98                 0.9999604190166729        2.511°   -76.022°
0.999                0.99                 0.999980109752189         2.537°   -79.361°
0.999                0.999                0.999998001997504         2.560°   -84.880°
0.999                0.9999               0.999999800109975         2.562°   -86.628°
0.999                0.9999999895816072   0.9999999999791737        2.563°   -87.429°
0.9999               0.1                  0.999901000049505         0.081°    -5.659°
0.9999               0.2                  0.9999040001920184        0.162°   -11.376°
0.9999               0.3                  0.9999090004095373        0.243°   -17.216°
0.9999               0.4                  0.9999160006720565        0.324°   -23.256°
0.9999               0.5                  0.9999250009375703        0.405°   -29.597°
0.9999               0.6                  0.9999360011520738        0.486°   -36.387°
0.9999               0.7                  0.9999490012495638        0.567°   -43.863°
0.9999               0.8                  0.9999640011520414        0.648°   -52.485°
0.9999               0.9                  0.9999810007695147        0.729°   -63.431°
0.9999               0.95                 0.999990250439973         0.770°   -71.037°
0.9999               0.96                 0.99999216036127          0.778°   -72.964°
0.9999               0.97                 0.9999940902780377        0.786°   -75.146°
0.9999               0.98                 0.99999604019016          0.794°   -77.729°
0.9999               0.99                 0.9999980100975202        0.802°   -81.089°
0.9999               0.999                0.999999800109975         0.810°   -86.628°
0.9999               0.9999               0.9999999800019997        0.810°   -88.380°
0.9999               0.9999999895816072   0.9999999999979164        0.810°   -89.181°
0.9999999895816072   0.1                  0.9999999896857912        0.001°    -5.738°
0.9999999895816072   0.2                  0.9999999899983429        0.002°   -11.535°
0.9999999895816072   0.3                  0.9999999905192626        0.003°   -17.455°
0.9999999895816072   0.4                  0.9999999912485501        0.003°   -23.575°
0.9999999895816072   0.5                  0.9999999921862054        0.004°   -29.996°
0.9999999895816072   0.6                  0.9999999933322286        0.005°   -36.865°
0.9999999895816072   0.7                  0.9999999946866197        0.006°   -44.421°
0.9999999895816072   0.8                  0.9999999962493786        0.007°   -53.124°
0.9999999895816072   0.9                  0.9999999980205053        0.007°   -64.151°
0.9999999895816072   0.95                 0.9999999989842067        0.008°   -71.797°
0.9999999895816072   0.96                 0.9999999991831979        0.008°   -73.732°
0.9999999895816072   0.97                 0.999999999384273         0.008°   -75.922°
0.9999999895816072   0.98                 0.9999999995874316        0.008°   -78.514°
0.9999999895816072   0.99                 0.999999999792674         0.008°   -81.882°
0.9999999895816072   0.999                0.9999999999791737        0.008°   -87.429°
0.9999999895816072   0.9999               0.9999999999979164        0.008°   -89.181°
0.9999999895816072   0.9999999895816072   0.9999999999999998        0.008°   -89.984°
