Event:[10.0, 1.0, 1.0, 1.0, YES]
Dogleg transform: boost[X,0.97] boost[Y,0.95]
Dogleg:           [115.91503043007748, -35.78701803585312, -109.80702900865369, 1.0, YES]

Boost+rotation transform: rotate[Z,0.23374053585196874] boost[X,0.9971147125581891] rotate[Z,-1.028420353109959] rotate[Z,-0.23374053585196874]
Boost + rotation ev: [115.91503043007783, -35.78701803585324, -109.80702900865401, 1.0, YES]

Order matters. Rotation+boost isn't the same.
Rotation+boost transform: rotate[Z,0.23374053585196874] rotate[Z,-1.028420353109959] boost[X,0.9971147125581891] rotate[Z,-0.23374053585196874]
Rotation + boost ev: [131.90826026877232, -128.2795249003928, -29.088702591619267, 1.0, YES]

βx   βy   β-equiv            β-direction-degs  θw-degs
---------------------------------------------------------
0.6 0.4 0.6799999999999999 28.072486935852957 -7.959392136617601
0.6 0.5 0.7211102550927979 33.690067525979785 -10.2078187220342
0.6 0.6 0.7683749084919419 38.65980825409009 -12.68038349181982
0.6 0.7 0.8207313811473276 43.02506598911802 -15.503198436740783
0.6 0.8 0.8772684879784525 46.8476102659946 -18.924644416051237
0.6 0.9 0.9372299611087985 50.1944289077348 -23.602062511405514
0.6 0.95 0.9682974749528164 51.70983680775693 -27.133994269052902
0.6 0.96 0.9745891442038538 52.00126755749534 -28.072486935852954
0.6 0.97 0.9809057039287722 52.28895232361013 -29.159316346744603
0.6 0.98 0.9872466763681709 52.572948640543395 -30.480644202824852
0.6 0.99 0.9936115941352537 52.85331330197822 -32.26004596656305
0.6 0.999 0.9993601152737686 53.102582769570425 -35.35922562463022
0.6 0.9999 0.9999360011520738 53.12735198071756 -36.38645241247319
0.6 0.9999999895816072 0.9999999933322286 53.13010206762961 -36.864935561178726
0.7 0.1 0.7036334272900912 5.825184659486248 -2.345323994105793
0.7 0.2 0.7144228439796702 11.53237531461567 -4.7246217800003665
0.7 0.3 0.7320519107276479 17.01731789394263 -7.175393752051963
0.7 0.4 0.7560423268574319 22.19946874383772 -9.74323251990127
0.7 0.5 0.7858116822750857 27.02622065310595 -12.489117545250613
0.7 0.6 0.8207313811473276 31.471735574141192 -15.503198436740783
0.7 0.7 0.8601744009211155 35.53225701255449 -18.935485974891016
0.7 0.8 0.9035485598461215 39.22005950378743 -23.08046768815758
0.7 0.9 0.9503157370053387 42.55764179415334 -28.714390272349803
0.7 0.95 0.9748204962966259 44.10373580892576 -32.93920767658776
0.7 0.96 0.9798040620450601 44.40361329104073 -34.05708884883408
0.7 0.97 0.9848141956734783 44.70044764850415 -35.34904013765894
0.7 0.98 0.9898504937615579 44.994269275865655 -36.91584021243135
0.7 0.99 0.9949125589718928 45.28510858771953 -39.018787221130715
0.7 0.999 0.9994901250137492 45.54433922702329 -42.661259539834305
0.7 0.9999 0.9999490012495638 45.570131637153665 -43.86264507123398
0.7 0.9999999895816072 0.9999999946866197 45.57299570078903 -44.42121486615926
0.8 0.1 0.8022468448052633 4.289153328819017 -2.8713858687771556
0.8 0.2 0.8089499366462675 8.530765609948132 -5.783134319477596
0.8 0.3 0.8200000000000001 12.680383491819814 -8.779744257605806
0.8 0.4 0.835224520712844 16.699244233993618 -11.915197445846818
0.8 0.5 0.8544003745317532 20.55604521958346 -15.261480424860121
0.8 0.6 0.8772684879784525 24.227745317954163 -18.924644416051237
0.8 0.7 0.9035485598461215 27.69947280805499 -23.08046768815758
0.8 0.8 0.9329523031752481 30.963756532073518 -28.072486935852965
0.8 0.9 0.9651942809610924 34.01934998982645 -34.801408545405614
0.8 0.95 0.9822932352408826 35.46987216740005 -39.79785113132673
